                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                 1.0478,                0.83246,                 1.1208,                0.81413,                0.67366,                0.77625,                0.54382,                  1.003,                0.74802,                 1.0563,             8.4502e-05,             8.4502e-05,             8.4502e-05
                     33,                 1.0445,                0.83024,                 1.1192,                 0.8113,                0.67681,                0.77681,                0.54407,                 1.0024,                0.74781,                  1.056,             8.4002e-05,             8.4002e-05,             8.4002e-05
                     34,                  1.044,                 0.8288,                 1.1185,                0.81543,                0.67458,                0.77684,                0.54432,                 1.0023,                0.74697,                 1.0559,             8.3502e-05,             8.3502e-05,             8.3502e-05
                     35,                 1.0476,                0.83017,                  1.119,                0.81752,                0.67469,                0.77711,                0.54445,                 1.0017,                0.74625,                 1.0558,             8.3002e-05,             8.3002e-05,             8.3002e-05
                     36,                 1.0432,                0.82733,                 1.1179,                0.81624,                0.67676,                0.77753,                0.54491,                 1.0016,                0.74578,                 1.0558,             8.2502e-05,             8.2502e-05,             8.2502e-05
                     37,                 1.0466,                0.82807,                 1.1185,                0.81443,                0.67625,                0.77779,                0.54481,                 1.0018,                0.74509,                 1.0557,             8.2002e-05,             8.2002e-05,             8.2002e-05
                     38,                 1.0399,                0.82222,                  1.117,                0.81321,                0.67825,                0.77866,                0.54521,                 1.0013,                0.74428,                 1.0555,             8.1502e-05,             8.1502e-05,             8.1502e-05
                     39,                 1.0439,                0.82432,                 1.1162,                0.81349,                0.67922,                0.77866,                0.54514,                 1.0014,                0.74368,                 1.0558,             8.1002e-05,             8.1002e-05,             8.1002e-05
                     40,                 1.0402,                0.82133,                 1.1146,                0.81116,                0.68118,                0.77916,                0.54578,                 1.0013,                 0.7435,                 1.0555,             8.0502e-05,             8.0502e-05,             8.0502e-05
                     41,                 1.0402,                0.82091,                  1.115,                0.81108,                0.68202,                0.77901,                0.54545,                 1.0014,                0.74285,                 1.0558,             8.0002e-05,             8.0002e-05,             8.0002e-05
                     42,                 1.0378,                0.81811,                 1.1144,                0.81014,                  0.681,                0.77897,                0.54578,                  1.001,                0.74232,                 1.0553,             7.9502e-05,             7.9502e-05,             7.9502e-05
                     43,                 1.0378,                0.81874,                 1.1128,                0.80807,                0.68251,                0.77873,                0.54569,                 1.0005,                0.74205,                 1.0555,             7.9002e-05,             7.9002e-05,             7.9002e-05
                     44,                 1.0371,                0.81743,                 1.1119,                0.80916,                0.68183,                0.77886,                  0.546,                 1.0001,                0.74144,                 1.0551,             7.8502e-05,             7.8502e-05,             7.8502e-05
                     45,                 1.0353,                0.81574,                 1.1117,                0.80835,                0.68219,                0.77936,                0.54636,                0.99996,                0.74094,                 1.0551,             7.8002e-05,             7.8002e-05,             7.8002e-05
                     46,                 1.0341,                0.81508,                 1.1116,                0.81171,                0.68001,                0.77957,                0.54654,                0.99896,                0.74059,                 1.0544,             7.7502e-05,             7.7502e-05,             7.7502e-05
                     47,                 1.0349,                0.81134,                 1.1112,                0.81208,                0.68009,                0.77944,                0.54665,                 0.9988,                0.73995,                 1.0545,             7.7002e-05,             7.7002e-05,             7.7002e-05
