                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1076,                0.91815,                 1.1502,                0.75185,                0.54347,                0.64012,                0.42001,                  1.208,                 1.0692,                 1.2068,               0.066708,             3.3325e-05,             3.3325e-05
                      1,                  1.073,                0.86937,                 1.1318,                0.79871,                0.66512,                0.75905,                0.52303,                  1.042,                0.80341,                 1.0782,               0.033408,             6.6642e-05,             6.6642e-05
                      2,                 1.0561,                0.84453,                 1.1241,                0.80333,                0.67008,                0.76783,                0.53347,                  1.024,                0.77782,                 1.0695,             0.00010821,             9.9893e-05,             9.9893e-05
                      3,                  1.048,                0.83428,                 1.1206,                0.80395,                0.67044,                0.76984,                0.53386,                 1.0209,                0.77541,                 1.0671,             9.9778e-05,             9.9778e-05,             9.9778e-05
                      4,                 1.0485,                0.83449,                 1.1197,                0.81614,                 0.6623,                0.76971,                0.53576,                 1.0201,                0.77435,                 1.0657,             9.9778e-05,             9.9778e-05,             9.9778e-05
                      5,                 1.0491,                0.83336,                 1.1192,                0.80698,                0.67059,                0.77063,                0.53647,                 1.0211,                0.76704,                 1.0681,             9.9606e-05,             9.9606e-05,             9.9606e-05
